month_id,product_id,total_discounts,total_revenue,avg_rating
4,459,1799.79,30050.9,3.6
6,455,3275.16,14197.56,3.9
8,450,4155.98,11181.0,2.8
3,254,2751.17,12688.78,1.7
1,278,4259.96,33385.64,1.9
4,262,2833.61,44184.75,1.4
12,151,4821.93,15657.2,2.2
5,288,1725.93,28782.27,2.2
9,286,4954.03,10616.14,2.3
6,184,3378.79,23600.91,2.8
4,132,2700.88,13449.25,3.6
11,83,4336.05,31113.1,1.6
12,1,2925.1,10565.09,4.6
2,350,1962.38,46094.4,3.3
4,168,4933.33,43972.92,1.0
11,139,1060.47,39737.58,3.1
2,7,4021.46,33587.68,1.9
8,455,4146.42,11241.43,4.2
5,74,3660.34,36930.97,1.2
5,232,1839.1,29557.47,2.8
5,42,1105.86,23433.23,4.9
6,246,2226.26,35311.35,3.7
8,233,3494.65,21587.87,3.3
7,22,3816.38,25332.85,2.1
5,434,2099.98,46724.01,3.6
9,247,4009.73,32712.92,3.5
5,314,2106.08,45713.4,3.0
11,135,4221.41,30720.62,1.5
11,294,1447.29,28564.48,2.7
12,119,4653.18,15269.16,3.7
8,257,4672.56,26443.07,4.5
1,304,1577.25,14213.86,1.9
8,425,3084.78,35856.56,4.1
12,473,4066.2,14475.25,4.5
1,364,1449.34,45912.43,4.8
8,475,3336.4,37755.86,2.5
6,468,3202.62,43282.73,1.6
7,390,3006.98,26368.76,4.5
2,339,1523.97,45670.19,2.0
3,195,3422.79,25195.94,4.7
9,128,1790.11,30101.62,1.9
4,322,4204.91,20842.16,4.8
7,378,4697.59,29007.61,1.1
11,95,4861.67,37438.56,3.0
10,226,3416.34,14439.42,1.6
11,241,3555.65,11958.44,3.8
4,83,4679.12,38358.21,3.2
10,474,4176.81,39938.63,3.4
2,363,1788.09,10313.28,2.8
7,41,1964.16,19085.14,3.0
1,339,2501.58,30162.23,2.1
11,264,3440.47,34879.46,1.8
6,217,3269.89,27808.63,4.9
10,350,3887.13,17275.67,4.5
3,95,2908.09,43874.27,4.3
1,238,1069.4,19346.48,4.6
7,377,4078.98,15413.02,1.8
12,479,3474.59,21147.84,1.8
2,427,4933.65,28344.82,3.1
10,398,3608.95,13029.4,2.6
12,6,4621.71,47728.7,3.0
5,495,4568.85,29961.4,4.9
3,124,4148.75,43212.41,1.7
12,413,1017.95,30198.01,4.9
5,299,4869.03,34567.42,1.7
3,313,1035.9,29859.72,2.2
11,9,2347.16,43330.88,1.4
4,419,1362.8,27705.55,2.7
7,21,1255.54,31820.02,2.7
6,385,4972.23,12643.45,1.5
7,381,1633.69,22994.44,3.7
5,71,4866.02,46307.67,2.8
2,112,1283.69,35797.54,2.7
1,172,1093.35,42694.98,3.1
1,260,2751.49,38945.8,4.4
3,445,4728.94,23264.9,1.7
11,164,2321.23,49052.21,1.4
10,229,4801.15,34738.67,1.0
1,96,4436.58,37247.31,1.6
6,212,2365.4,44915.31,3.9
11,295,2274.63,41768.57,2.0
3,8,3197.67,47342.65,2.7
12,284,3224.99,41047.8,1.8
5,348,2796.23,46802.18,3.6
8,495,3805.52,48489.76,3.4
8,33,4482.15,49697.07,3.7
7,125,3739.12,17241.17,2.9
7,387,3951.32,23703.18,1.5
11,373,1083.69,36749.15,1.1
11,158,2953.0,45308.4,4.3
3,14,3877.52,44390.04,4.0
6,113,1072.67,28848.83,1.1
2,417,3220.28,19446.83,2.8
9,228,1816.08,42770.46,1.7
11,466,2305.47,10607.04,2.2
4,119,1104.94,27999.46,1.1
10,458,2552.67,34261.68,4.6
12,197,3214.64,30603.65,1.2
11,357,2497.02,25743.86,2.3
10,235,4556.89,25830.22,1.8
2,333,4140.07,42501.0,2.4
4,424,4285.48,38226.59,1.4
12,499,2472.55,44083.16,2.5
1,459,4460.31,27818.31,3.3
5,122,2557.55,34534.82,3.1
7,232,4370.0,48694.39,2.2
2,156,1617.09,23101.32,3.8
