month_id,product_id,total_inflow,total_outflow,average_on_hand,turnover_ratio
8,221,697,621,392,1.31
5,488,836,756,171,0.58
8,85,742,495,191,2.61
12,194,123,294,249,2.01
10,387,485,427,392,0.91
11,489,152,835,170,0.79
3,257,139,700,289,1.69
5,154,224,208,460,0.52
4,487,193,224,189,2.48
3,466,438,865,292,2.92
8,430,683,349,312,0.59
9,377,763,878,294,1.96
3,125,244,857,242,2.03
6,488,866,288,85,0.53
6,292,866,504,245,2.41
8,133,594,609,19,1.15
6,260,806,128,46,2.13
1,263,595,868,339,1.03
9,99,648,226,137,0.72
9,342,584,472,112,1.13
10,473,493,582,2,2.69
1,293,720,439,449,2.4
4,299,856,478,427,1.73
9,267,529,323,305,0.79
4,372,347,316,433,1.03
8,12,970,809,425,2.91
1,370,305,256,252,0.85
4,278,809,276,441,1.22
6,336,854,537,304,1.88
3,447,746,975,174,1.42
12,489,432,944,42,1.17
1,265,596,581,452,2.2
5,374,155,740,494,0.89
6,65,472,923,367,1.68
1,26,472,567,2,0.79
10,321,526,595,462,1.22
2,444,891,352,290,1.4
3,372,751,573,373,2.1
12,183,328,394,325,1.65
10,467,936,108,12,1.21
12,461,877,699,182,2.21
4,193,403,537,147,1.68
2,410,676,734,485,2.31
3,196,456,781,80,1.46
6,183,938,675,385,2.31
10,311,838,415,3,1.92
9,282,823,102,424,1.12
7,162,989,681,219,1.86
4,234,122,272,373,0.84
2,389,380,254,417,0.52
9,483,292,845,392,2.23
2,142,664,738,108,0.94
5,264,962,483,187,1.98
4,50,540,378,462,1.67
4,138,215,799,154,1.59
7,283,315,680,427,1.28
1,185,179,725,231,1.81
11,203,309,278,364,2.93
10,431,557,497,383,2.42
11,100,521,400,260,1.53
7,500,210,715,199,2.68
4,150,802,792,65,1.82
9,264,679,613,404,2.96
9,84,199,365,412,2.93
11,228,992,181,176,0.57
10,235,296,348,475,0.94
4,311,152,109,129,2.6
8,363,246,836,119,1.41
3,460,249,828,90,1.12
6,306,335,896,426,1.84
6,227,608,914,281,2.18
2,129,203,332,80,1.29
10,423,300,956,65,2.65
3,310,122,643,75,1.75
8,188,727,582,479,1.08
11,281,355,961,177,2.19
3,189,877,447,193,1.68
4,102,579,528,252,0.88
11,361,341,704,207,0.68
8,389,922,262,221,2.01
9,152,488,943,456,0.66
6,334,830,727,495,2.93
2,257,703,449,89,1.01
7,84,487,493,355,2.97
6,364,251,952,442,1.3
9,416,957,162,348,2.82
10,278,232,203,35,2.09
11,99,440,686,71,0.74
5,196,775,482,319,1.14
6,169,750,715,174,1.48
12,136,968,990,67,1.55
1,493,265,431,199,1.91
1,318,893,588,485,1.99
1,322,779,221,60,1.28
9,231,234,549,177,0.72
3,47,523,470,263,2.23
4,157,238,929,35,1.66
10,51,983,427,42,2.21
8,23,697,141,294,1.92
11,461,324,226,376,0.52
7,25,243,695,43,2.51
