month_id,city_id,category,total_revenue,total_cost,net_profit,discount_amount,avg_rating
2,8,Study Desk,48400.47,32435.04,7700.37,2597.02,3.1
11,6,Office Furniture,18275.62,9636.87,3936.11,2138.13,1.4
4,3,Bar Stool,17888.17,8591.11,1299.18,2270.04,2.8
5,6,Sofa,39856.86,24846.11,17302.28,3587.48,4.3
4,7,Bar Stool,32629.99,23530.83,19374.23,2359.03,3.1
10,2,Sofa,37962.54,22014.3,8947.68,3504.67,1.2
3,8,Bar Stool,44351.67,39206.95,12654.93,2608.11,2.8
4,6,Dining Table,32506.73,30542.17,6684.08,1925.81,1.6
1,5,Bed,39099.31,18044.58,16888.09,2663.17,1.5
6,8,Bed,49995.6,33613.36,6123.71,864.47,1.1
12,6,Bar Stool,41482.24,8737.19,5879.32,942.52,4.8
9,7,Sofa,23265.6,13260.49,14626.71,3424.4,2.4
10,4,Wardrobe,32390.19,26936.44,8865.74,4112.63,4.0
12,9,Office Furniture,44187.75,8297.79,12086.86,3781.19,1.1
1,8,Study Desk,34295.47,17604.74,17794.39,4231.52,2.0
6,8,Study Desk,41776.7,9766.43,15850.39,3586.38,4.3
5,5,Dining Table,30914.43,32022.47,14888.82,759.85,3.1
7,7,Wardrobe,32430.5,36604.19,11451.08,4551.1,2.0
3,7,Office Furniture,27296.34,23431.33,7639.55,2030.05,1.6
7,9,Wardrobe,16896.55,34774.02,15025.78,2481.94,4.1
10,3,Sofa,15991.41,12332.75,12188.73,969.79,3.7
12,6,Dining Table,22825.43,36318.61,12944.65,2487.44,3.2
5,9,Study Desk,19114.34,6198.3,2057.09,2304.47,4.4
4,6,Bed,37647.89,27520.58,19104.16,4522.55,2.7
5,8,Wardrobe,39724.84,22646.56,14220.78,2505.18,3.3
7,6,Bed,16511.13,31035.49,1919.93,777.03,3.2
2,6,Wardrobe,35771.18,15159.44,18059.34,2751.83,1.5
12,6,Sofa,45823.05,24995.49,14071.04,2120.54,4.4
10,1,Sofa,34878.19,26482.29,7428.08,4665.49,4.9
9,7,Bed,36531.96,5817.33,16323.13,2724.5,4.9
12,8,Bed,20217.11,7781.92,17014.43,2757.42,2.4
11,5,Wardrobe,27264.97,37994.84,1835.87,2935.87,1.9
12,5,Sofa,43506.58,25325.96,10370.43,3225.81,2.3
12,3,Wardrobe,42191.91,25679.16,17133.13,3159.49,1.7
2,7,Office Furniture,40707.31,35122.35,15809.88,2518.99,3.7
4,1,Bed,40924.32,15184.87,3415.56,4814.87,4.7
12,2,Dining Table,37294.01,25585.64,19305.41,3999.99,2.7
11,8,Dining Table,44948.39,34207.87,11346.52,2080.85,2.5
9,5,Office Furniture,32040.02,35539.14,9051.02,987.71,2.3
1,6,Wardrobe,10407.25,35727.62,5694.2,4814.13,2.5
12,1,Sofa,31309.77,31622.45,1770.34,2349.13,2.6
12,4,Bed,11530.74,29518.71,15422.42,3175.77,2.7
5,1,Office Furniture,17824.41,11788.71,13748.16,2687.89,3.6
5,3,Study Desk,46721.21,27290.28,2237.69,3505.37,1.1
6,10,Bar Stool,48141.44,14244.25,11264.1,3222.27,1.9
12,5,Bed,15375.51,33205.11,14156.33,3253.06,1.7
11,1,Wardrobe,40228.36,27633.01,12048.82,2558.5,1.7
4,6,Bed,17573.62,33986.5,5195.59,4589.19,1.6
2,1,Bar Stool,36696.84,19374.3,12870.3,699.6,2.4
11,10,Office Furniture,17623.31,9092.9,1555.97,681.54,3.8
5,4,Study Desk,29896.53,16150.23,2662.91,1281.93,2.1
6,8,Office Furniture,29463.08,37784.16,7452.15,2105.61,3.9
2,8,Sofa,29412.65,14887.13,3966.13,674.05,1.9
12,5,Sofa,46891.74,39784.57,16279.55,2577.62,3.9
8,7,Wardrobe,42933.91,17580.12,4373.83,1231.18,3.3
7,4,Sofa,12497.5,39782.7,9486.16,1529.0,3.1
6,2,Bed,19949.7,26598.3,16605.1,2402.61,3.9
4,7,Dining Table,33686.77,10926.86,5070.03,2951.06,4.4
9,1,Study Desk,27770.03,26902.64,15418.39,4092.92,3.6
12,2,Sofa,41272.96,26178.18,18565.06,2040.1,4.3
10,4,Bed,35916.86,25062.88,14643.78,603.98,4.1
9,1,Wardrobe,19172.8,10383.14,13624.48,4561.98,3.2
5,4,Dining Table,19349.1,30869.86,18075.13,3806.6,4.2
11,3,Dining Table,47408.59,23374.91,18150.33,4111.55,2.4
3,4,Bed,23086.05,12279.5,13652.57,4481.3,1.3
1,6,Dining Table,33160.15,29461.58,16489.18,3008.32,3.6
7,1,Dining Table,30937.18,11718.16,2296.8,1651.69,4.3
5,10,Wardrobe,14853.34,7510.21,5218.8,1803.76,2.6
4,9,Bar Stool,43320.15,26847.7,15259.07,4507.54,4.1
2,2,Study Desk,20468.94,24195.02,9610.43,4199.35,2.0
7,7,Dining Table,34341.21,6382.41,7163.5,2614.9,1.8
1,10,Bed,36898.75,17884.24,4572.62,4409.12,1.8
