month_id,product_id,total_rented,total_returned,return_rate,top_return_reason
7,295,173,82,0.99,Delivery Delay
4,73,355,329,0.03,Delivery Delay
10,111,286,253,0.64,Size Issue
11,338,425,361,0.14,Delivery Delay
8,35,365,293,1.0,Size Issue
10,387,474,17,0.09,Size Issue
6,463,281,168,0.98,Not as Expected
10,397,146,241,0.41,Size Issue
11,181,419,241,0.18,Damaged
9,327,97,192,0.25,Late Return
3,207,411,31,0.58,Size Issue
4,317,418,363,0.02,Delivery Delay
10,181,478,380,0.88,Size Issue
10,248,412,62,0.34,Delivery Delay
5,467,319,274,0.25,Size Issue
9,60,395,256,0.45,Damaged
2,224,65,80,0.15,Not as Expected
5,83,299,73,0.9,Delivery Delay
3,89,252,82,0.99,Damaged
7,56,227,126,0.39,Not as Expected
6,282,160,379,0.06,Size Issue
4,437,291,149,0.99,Size Issue
12,225,387,394,0.82,Size Issue
8,12,478,10,0.62,Late Return
8,20,358,296,0.85,Not as Expected
1,415,494,377,0.69,Late Return
1,335,371,288,0.65,Delivery Delay
12,302,351,146,0.12,Late Return
10,433,491,158,0.83,Delivery Delay
4,132,231,134,0.89,Not as Expected
5,87,235,356,0.68,Late Return
6,74,223,221,0.03,Damaged
3,2,97,158,0.46,Not as Expected
3,350,117,263,0.96,Damaged
11,114,445,270,0.89,Damaged
1,443,137,372,0.86,Damaged
7,422,155,234,0.53,Delivery Delay
2,204,301,96,0.16,Late Return
1,123,78,151,0.4,Damaged
1,483,286,74,0.78,Late Return
1,358,169,48,0.83,Delivery Delay
4,454,453,313,0.94,Delivery Delay
1,47,172,164,0.49,Late Return
7,95,207,150,0.66,Not as Expected
11,46,199,303,0.15,Damaged
5,35,331,14,0.63,Damaged
10,271,400,210,0.55,Late Return
12,482,480,277,0.38,Late Return
4,257,467,57,0.1,Late Return
3,191,100,80,0.07,Delivery Delay
2,221,278,267,0.44,Delivery Delay
5,195,395,234,0.51,Damaged
12,18,432,374,0.09,Size Issue
4,437,400,253,0.27,Not as Expected
7,414,477,373,0.73,Not as Expected
6,92,368,21,0.78,Size Issue
5,265,442,63,0.72,Late Return
4,46,64,369,0.28,Damaged
7,84,121,47,0.97,Not as Expected
8,494,240,363,0.33,Not as Expected
11,391,56,320,0.85,Size Issue
2,249,357,293,0.68,Size Issue
3,127,95,379,0.41,Not as Expected
2,88,112,31,0.33,Late Return
7,311,419,290,0.61,Delivery Delay
10,283,65,99,0.23,Late Return
8,483,463,123,0.45,Delivery Delay
2,217,459,208,0.59,Late Return
10,428,356,178,0.74,Late Return
2,151,462,194,0.22,Damaged
12,351,401,363,0.07,Late Return
1,344,414,241,0.19,Damaged
5,290,233,81,0.64,Not as Expected
9,60,324,340,0.8,Size Issue
3,297,77,159,0.22,Delivery Delay
4,307,248,138,0.56,Late Return
6,176,108,330,0.39,Not as Expected
10,491,391,251,0.03,Damaged
10,95,141,191,0.09,Damaged
11,419,125,67,0.03,Not as Expected
4,135,120,169,0.48,Damaged
12,203,186,272,0.73,Not as Expected
5,441,192,303,0.06,Late Return
3,411,335,328,0.28,Damaged
5,160,438,167,0.03,Delivery Delay
6,89,402,299,0.19,Damaged
12,222,71,312,0.62,Damaged
7,256,478,57,0.44,Not as Expected
7,139,167,353,0.25,Size Issue
11,70,266,90,0.27,Delivery Delay
1,298,263,188,0.13,Delivery Delay
12,419,146,126,0.64,Late Return
1,331,185,229,0.78,Size Issue
5,250,440,149,0.58,Late Return
5,231,439,114,0.4,Size Issue
12,76,130,366,0.18,Delivery Delay
9,132,246,46,0.73,Size Issue
10,94,131,377,0.1,Damaged
5,336,254,328,0.24,Late Return
3,253,89,89,0.7,Delivery Delay
7,294,166,130,0.04,Size Issue
7,156,119,326,0.53,Damaged
11,473,368,216,0.14,Size Issue
4,142,232,101,0.62,Late Return
2,278,75,288,0.93,Not as Expected
7,59,153,171,0.42,Late Return
1,233,496,80,0.07,Late Return
11,414,245,308,0.03,Damaged
9,234,225,92,0.94,Delivery Delay
6,46,423,13,0.47,Not as Expected
2,114,222,17,0.91,Late Return
10,17,255,370,0.41,Size Issue
11,369,216,77,0.31,Not as Expected
7,38,499,326,0.28,Damaged
6,274,91,12,0.51,Damaged
6,130,277,79,0.75,Not as Expected
12,168,421,154,0.6,Not as Expected
8,226,408,24,0.62,Delivery Delay
9,335,360,273,0.15,Not as Expected
6,58,316,232,0.59,Late Return
10,132,492,21,0.22,Size Issue
6,143,148,399,0.79,Delivery Delay
8,26,76,298,0.19,Delivery Delay
6,10,118,182,0.3,Delivery Delay
7,334,301,153,0.09,Late Return
11,91,302,388,0.9,Delivery Delay
4,10,123,197,0.23,Not as Expected
10,327,269,179,0.09,Late Return
11,382,169,350,0.26,Size Issue
11,237,166,40,0.39,Size Issue
3,18,360,97,0.19,Delivery Delay
12,294,98,209,0.47,Delivery Delay
4,171,481,348,0.99,Not as Expected
5,268,441,300,0.96,Not as Expected
7,422,270,365,0.17,Delivery Delay
6,401,475,205,0.73,Delivery Delay
2,500,427,130,0.23,Not as Expected
7,224,281,48,0.96,Late Return
4,220,481,372,0.42,Damaged
6,228,497,330,0.38,Size Issue
12,479,445,272,0.98,Late Return
10,463,395,92,0.52,Late Return
8,334,243,197,0.17,Size Issue
11,109,294,154,0.58,Delivery Delay
8,44,339,98,0.73,Not as Expected
