date_id,full_date,day,month,quarter,year,festival,day_of_week,is_weekend
1,04-01-2022,4,1,1,2022,Diwali,Tuesday,0
2,05-01-2022,5,1,1,2022,,Wednesday,0
3,06-01-2022,6,1,1,2022,,Thursday,0
4,09-01-2022,9,1,1,2022,Christmas,Sunday,1
5,13-01-2022,13,1,1,2022,,Thursday,0
6,15-01-2022,15,1,1,2022,Diwali,Saturday,1
7,16-01-2022,16,1,1,2022,Diwali,Sunday,1
8,17-01-2022,17,1,1,2022,Holi,Monday,0
9,19-01-2022,19,1,1,2022,Christmas,Wednesday,0
10,20-01-2022,20,1,1,2022,Holi,Thursday,0
11,21-01-2022,21,1,1,2022,Holi,Friday,0
12,22-01-2022,22,1,1,2022,Christmas,Saturday,1
13,23-01-2022,23,1,1,2022,Eid,Sunday,1
14,25-01-2022,25,1,1,2022,Diwali,Tuesday,0
15,26-01-2022,26,1,1,2022,Eid,Wednesday,0
16,29-01-2022,29,1,1,2022,Christmas,Saturday,1
17,31-01-2022,31,1,1,2022,Christmas,Monday,0
18,01-02-2022,1,2,1,2022,Christmas,Tuesday,0
19,03-02-2022,3,2,1,2022,Christmas,Thursday,0
20,04-02-2022,4,2,1,2022,Christmas,Friday,0
21,08-02-2022,8,2,1,2022,Eid,Tuesday,0
22,10-02-2022,10,2,1,2022,Eid,Thursday,0
23,12-02-2022,12,2,1,2022,Eid,Saturday,1
24,15-02-2022,15,2,1,2022,Christmas,Tuesday,0
25,16-02-2022,16,2,1,2022,,Wednesday,0
26,17-02-2022,17,2,1,2022,Diwali,Thursday,0
27,18-02-2022,18,2,1,2022,Christmas,Friday,0
28,19-02-2022,19,2,1,2022,Diwali,Saturday,1
29,20-02-2022,20,2,1,2022,,Sunday,1
30,22-02-2022,22,2,1,2022,Holi,Tuesday,0
31,23-02-2022,23,2,1,2022,Christmas,Wednesday,0
32,24-02-2022,24,2,1,2022,,Thursday,0
33,26-02-2022,26,2,1,2022,Eid,Saturday,1
34,27-02-2022,27,2,1,2022,Holi,Sunday,1
35,01-03-2022,1,3,1,2022,Holi,Tuesday,0
36,04-03-2022,4,3,1,2022,Eid,Friday,0
37,05-03-2022,5,3,1,2022,Eid,Saturday,1
38,06-03-2022,6,3,1,2022,,Sunday,1
39,09-03-2022,9,3,1,2022,,Wednesday,0
40,11-03-2022,11,3,1,2022,Diwali,Friday,0
41,13-03-2022,13,3,1,2022,,Sunday,1
42,15-03-2022,15,3,1,2022,Diwali,Tuesday,0
43,18-03-2022,18,3,1,2022,,Friday,0
44,19-03-2022,19,3,1,2022,Holi,Saturday,1
45,20-03-2022,20,3,1,2022,Holi,Sunday,1
46,23-03-2022,23,3,1,2022,Diwali,Wednesday,0
47,25-03-2022,25,3,1,2022,Diwali,Friday,0
48,27-03-2022,27,3,1,2022,Christmas,Sunday,1
49,28-03-2022,28,3,1,2022,Holi,Monday,0
50,30-03-2022,30,3,1,2022,,Wednesday,0
51,01-04-2022,1,4,2,2022,Christmas,Friday,0
52,02-04-2022,2,4,2,2022,Diwali,Saturday,1
53,03-04-2022,3,4,2,2022,Christmas,Sunday,1
54,04-04-2022,4,4,2,2022,Eid,Monday,0
55,06-04-2022,6,4,2,2022,,Wednesday,0
56,07-04-2022,7,4,2,2022,Christmas,Thursday,0
57,08-04-2022,8,4,2,2022,Diwali,Friday,0
58,10-04-2022,10,4,2,2022,Diwali,Sunday,1
59,11-04-2022,11,4,2,2022,Diwali,Monday,0
60,12-04-2022,12,4,2,2022,,Tuesday,0
61,14-04-2022,14,4,2,2022,Diwali,Thursday,0
62,17-04-2022,17,4,2,2022,Diwali,Sunday,1
63,20-04-2022,20,4,2,2022,Christmas,Wednesday,0
64,22-04-2022,22,4,2,2022,Eid,Friday,0
65,24-04-2022,24,4,2,2022,Christmas,Sunday,1
66,27-04-2022,27,4,2,2022,Eid,Wednesday,0
67,29-04-2022,29,4,2,2022,Eid,Friday,0
68,01-05-2022,1,5,2,2022,Christmas,Sunday,1
69,02-05-2022,2,5,2,2022,,Monday,0
70,03-05-2022,3,5,2,2022,Diwali,Tuesday,0
71,06-05-2022,6,5,2,2022,Eid,Friday,0
72,09-05-2022,9,5,2,2022,Eid,Monday,0
73,10-05-2022,10,5,2,2022,Christmas,Tuesday,0
74,15-05-2022,15,5,2,2022,Eid,Sunday,1
75,17-05-2022,17,5,2,2022,Holi,Tuesday,0
76,18-05-2022,18,5,2,2022,Christmas,Wednesday,0
77,20-05-2022,20,5,2,2022,,Friday,0
78,21-05-2022,21,5,2,2022,Holi,Saturday,1
79,22-05-2022,22,5,2,2022,Eid,Sunday,1
80,24-05-2022,24,5,2,2022,Christmas,Tuesday,0
81,25-05-2022,25,5,2,2022,Diwali,Wednesday,0
82,30-05-2022,30,5,2,2022,Holi,Monday,0
83,31-05-2022,31,5,2,2022,Christmas,Tuesday,0
84,02-06-2022,2,6,2,2022,Holi,Thursday,0
85,03-06-2022,3,6,2,2022,Diwali,Friday,0
86,05-06-2022,5,6,2,2022,Diwali,Sunday,1
87,07-06-2022,7,6,2,2022,Eid,Tuesday,0
88,08-06-2022,8,6,2,2022,,Wednesday,0
89,09-06-2022,9,6,2,2022,Christmas,Thursday,0
90,12-06-2022,12,6,2,2022,Holi,Sunday,1
91,15-06-2022,15,6,2,2022,Christmas,Wednesday,0
92,18-06-2022,18,6,2,2022,Holi,Saturday,1
93,19-06-2022,19,6,2,2022,Holi,Sunday,1
94,21-06-2022,21,6,2,2022,Christmas,Tuesday,0
95,23-06-2022,23,6,2,2022,Christmas,Thursday,0
96,24-06-2022,24,6,2,2022,,Friday,0
97,29-06-2022,29,6,2,2022,,Wednesday,0
98,03-07-2022,3,7,3,2022,Diwali,Sunday,1
99,07-07-2022,7,7,3,2022,Eid,Thursday,0
100,08-07-2022,8,7,3,2022,,Friday,0
101,09-07-2022,9,7,3,2022,Diwali,Saturday,1
102,15-07-2022,15,7,3,2022,Holi,Friday,0
103,18-07-2022,18,7,3,2022,Diwali,Monday,0
104,19-07-2022,19,7,3,2022,Holi,Tuesday,0
105,20-07-2022,20,7,3,2022,Christmas,Wednesday,0
106,21-07-2022,21,7,3,2022,Holi,Thursday,0
107,25-07-2022,25,7,3,2022,Diwali,Monday,0
108,26-07-2022,26,7,3,2022,Eid,Tuesday,0
109,29-07-2022,29,7,3,2022,,Friday,0
110,03-08-2022,3,8,3,2022,Holi,Wednesday,0
111,05-08-2022,5,8,3,2022,Holi,Friday,0
112,06-08-2022,6,8,3,2022,Eid,Saturday,1
113,07-08-2022,7,8,3,2022,Holi,Sunday,1
114,09-08-2022,9,8,3,2022,Diwali,Tuesday,0
115,10-08-2022,10,8,3,2022,,Wednesday,0
116,11-08-2022,11,8,3,2022,Holi,Thursday,0
117,12-08-2022,12,8,3,2022,Christmas,Friday,0
118,13-08-2022,13,8,3,2022,Holi,Saturday,1
119,16-08-2022,16,8,3,2022,Christmas,Tuesday,0
120,17-08-2022,17,8,3,2022,Holi,Wednesday,0
121,18-08-2022,18,8,3,2022,Christmas,Thursday,0
122,19-08-2022,19,8,3,2022,,Friday,0
123,20-08-2022,20,8,3,2022,Diwali,Saturday,1
124,23-08-2022,23,8,3,2022,Holi,Tuesday,0
125,28-08-2022,28,8,3,2022,Diwali,Sunday,1
126,29-08-2022,29,8,3,2022,Diwali,Monday,0
127,31-08-2022,31,8,3,2022,,Wednesday,0
128,01-09-2022,1,9,3,2022,Holi,Thursday,0
129,02-09-2022,2,9,3,2022,Holi,Friday,0
130,04-09-2022,4,9,3,2022,Holi,Sunday,1
131,05-09-2022,5,9,3,2022,Diwali,Monday,0
132,11-09-2022,11,9,3,2022,Diwali,Sunday,1
133,14-09-2022,14,9,3,2022,,Wednesday,0
134,23-09-2022,23,9,3,2022,Christmas,Friday,0
135,25-09-2022,25,9,3,2022,Christmas,Sunday,1
136,26-09-2022,26,9,3,2022,Holi,Monday,0
137,02-10-2022,2,10,4,2022,,Sunday,1
138,04-10-2022,4,10,4,2022,Diwali,Tuesday,0
139,05-10-2022,5,10,4,2022,Diwali,Wednesday,0
140,07-10-2022,7,10,4,2022,Eid,Friday,0
141,09-10-2022,9,10,4,2022,Diwali,Sunday,1
142,12-10-2022,12,10,4,2022,Holi,Wednesday,0
143,13-10-2022,13,10,4,2022,Holi,Thursday,0
144,15-10-2022,15,10,4,2022,Diwali,Saturday,1
145,16-10-2022,16,10,4,2022,Diwali,Sunday,1
146,17-10-2022,17,10,4,2022,,Monday,0
147,19-10-2022,19,10,4,2022,Eid,Wednesday,0
148,21-10-2022,21,10,4,2022,,Friday,0
