product_id,product_name,category,rental_price
1,Office Furniture Model 1,Office Furniture,4139.18
2,Dining Table Model 2,Bar Stool,6711.74
3,Bar Stool Model 3,Office Furniture,3464.58
4,Wardrobe Model 4,Bed,2855.04
5,Bed Model 5,Wardrobe,4027.06
6,Bar Stool Model 6,Wardrobe,3943.9
7,Bed Model 7,Dining Table,8940.48
8,Bar Stool Model 8,Study Desk,8400.73
9,Dining Table Model 9,Bar Stool,7386.61
10,Sofa Model 10,Wardrobe,9634.11
11,Bar Stool Model 11,Wardrobe,4802.89
12,Bar Stool Model 12,Study Desk,3205.3
13,Study Desk Model 13,Sofa,2056.59
14,Office Furniture Model 14,Study Desk,3709.48
15,Dining Table Model 15,Sofa,2307.37
16,Dining Table Model 16,Bar Stool,1829.67
17,Bed Model 17,Wardrobe,6426.39
18,Bed Model 18,Bar Stool,4277.69
19,Sofa Model 19,Bed,6081.13
20,Dining Table Model 20,Office Furniture,2722.02
21,Sofa Model 21,Bed,7092.15
22,Study Desk Model 22,Dining Table,2939.55
23,Bed Model 23,Wardrobe,3502.21
24,Bed Model 24,Bar Stool,7675.84
25,Sofa Model 25,Bar Stool,6037.64
26,Dining Table Model 26,Study Desk,4013.53
27,Study Desk Model 27,Wardrobe,5886.9
28,Study Desk Model 28,Office Furniture,7245.86
29,Study Desk Model 29,Bar Stool,9209.19
30,Wardrobe Model 30,Dining Table,6226.42
31,Sofa Model 31,Sofa,3094.18
32,Sofa Model 32,Office Furniture,7720.28
33,Dining Table Model 33,Office Furniture,7999.92
34,Bed Model 34,Wardrobe,2803.61
35,Bar Stool Model 35,Wardrobe,8385.17
36,Study Desk Model 36,Study Desk,5184.41
37,Wardrobe Model 37,Sofa,8017.9
38,Sofa Model 38,Bar Stool,3137.3
39,Wardrobe Model 39,Bed,3993.22
40,Wardrobe Model 40,Dining Table,9583.27
41,Wardrobe Model 41,Study Desk,6920.34
42,Office Furniture Model 42,Study Desk,7955.9
43,Office Furniture Model 43,Sofa,7195.37
44,Wardrobe Model 44,Bar Stool,2838.74
45,Bar Stool Model 45,Bar Stool,5236.2
46,Wardrobe Model 46,Study Desk,8280.67
47,Dining Table Model 47,Study Desk,7075.32
48,Dining Table Model 48,Bar Stool,1054.25
49,Bar Stool Model 49,Wardrobe,1786.67
50,Office Furniture Model 50,Wardrobe,4121.15
51,Sofa Model 51,Study Desk,9499.29
52,Dining Table Model 52,Dining Table,5420.71
53,Bar Stool Model 53,Office Furniture,3431.59
54,Study Desk Model 54,Office Furniture,4243.81
55,Study Desk Model 55,Wardrobe,2895.87
56,Bed Model 56,Study Desk,4790.8
57,Bed Model 57,Office Furniture,2962.32
58,Sofa Model 58,Study Desk,8611.77
59,Study Desk Model 59,Dining Table,5106.44
60,Dining Table Model 60,Dining Table,3518.22
61,Bar Stool Model 61,Study Desk,9396.02
62,Dining Table Model 62,Office Furniture,3829.16
63,Wardrobe Model 63,Bar Stool,9187.43
64,Sofa Model 64,Wardrobe,1390.76
65,Study Desk Model 65,Dining Table,7364.04
66,Sofa Model 66,Wardrobe,5355.0
67,Bed Model 67,Dining Table,4997.99
68,Wardrobe Model 68,Wardrobe,1326.91
69,Sofa Model 69,Study Desk,1366.15
70,Office Furniture Model 70,Wardrobe,3994.78
71,Sofa Model 71,Dining Table,9524.08
72,Bar Stool Model 72,Sofa,6558.94
73,Bed Model 73,Office Furniture,4319.87
74,Office Furniture Model 74,Study Desk,6507.79
75,Wardrobe Model 75,Wardrobe,2855.18
76,Wardrobe Model 76,Office Furniture,2485.6
77,Wardrobe Model 77,Sofa,4256.36
78,Study Desk Model 78,Office Furniture,8770.18
79,Study Desk Model 79,Office Furniture,5584.62
80,Bed Model 80,Sofa,3672.11
81,Office Furniture Model 81,Bed,9552.26
82,Office Furniture Model 82,Bed,8343.69
83,Study Desk Model 83,Wardrobe,3906.77
84,Wardrobe Model 84,Wardrobe,9748.88
85,Wardrobe Model 85,Bar Stool,9886.16
86,Wardrobe Model 86,Wardrobe,4677.94
87,Wardrobe Model 87,Study Desk,6903.31
88,Bar Stool Model 88,Sofa,4650.88
89,Sofa Model 89,Dining Table,3316.13
90,Study Desk Model 90,Office Furniture,1743.87
91,Study Desk Model 91,Bed,3372.49
92,Bed Model 92,Bed,3443.32
93,Dining Table Model 93,Wardrobe,4587.75
94,Bar Stool Model 94,Wardrobe,2663.97
95,Dining Table Model 95,Study Desk,9584.37
96,Dining Table Model 96,Bar Stool,1925.92
97,Wardrobe Model 97,Office Furniture,6626.88
98,Sofa Model 98,Bar Stool,4975.28
99,Bar Stool Model 99,Office Furniture,4811.66
100,Dining Table Model 100,Bar Stool,4347.93
101,Wardrobe Model 101,Sofa,8814.83
102,Sofa Model 102,Dining Table,3524.29
103,Wardrobe Model 103,Study Desk,1185.19
104,Office Furniture Model 104,Bar Stool,9262.87
105,Wardrobe Model 105,Wardrobe,8780.32
106,Sofa Model 106,Bed,3492.12
107,Study Desk Model 107,Office Furniture,5711.39
108,Dining Table Model 108,Office Furniture,1981.79
109,Sofa Model 109,Wardrobe,1840.84
110,Office Furniture Model 110,Study Desk,8537.19
111,Bar Stool Model 111,Office Furniture,4692.39
112,Office Furniture Model 112,Office Furniture,6955.45
113,Study Desk Model 113,Dining Table,9488.81
114,Study Desk Model 114,Wardrobe,3206.18
115,Office Furniture Model 115,Study Desk,1118.44
116,Office Furniture Model 116,Dining Table,1217.34
117,Bed Model 117,Office Furniture,7384.47
118,Office Furniture Model 118,Bar Stool,9320.97
119,Dining Table Model 119,Bed,5205.97
120,Bed Model 120,Study Desk,4375.98
121,Sofa Model 121,Bed,5885.74
122,Office Furniture Model 122,Dining Table,8730.25
123,Sofa Model 123,Bar Stool,6869.38
124,Bed Model 124,Bed,3096.82
125,Sofa Model 125,Wardrobe,7971.22
126,Dining Table Model 126,Study Desk,2211.52
127,Bar Stool Model 127,Bed,2490.04
128,Dining Table Model 128,Bed,6514.14
129,Sofa Model 129,Bed,3149.05
130,Office Furniture Model 130,Wardrobe,7343.01
131,Wardrobe Model 131,Bar Stool,4145.67
132,Bed Model 132,Sofa,3496.82
133,Bar Stool Model 133,Office Furniture,9990.27
134,Bed Model 134,Dining Table,1365.55
135,Study Desk Model 135,Study Desk,6812.4
136,Dining Table Model 136,Study Desk,1348.3
137,Bar Stool Model 137,Sofa,7841.89
138,Bar Stool Model 138,Sofa,3070.81
139,Study Desk Model 139,Wardrobe,1808.49
140,Study Desk Model 140,Dining Table,6836.05
141,Wardrobe Model 141,Bar Stool,7593.41
142,Sofa Model 142,Sofa,7102.86
143,Bed Model 143,Sofa,1467.11
144,Sofa Model 144,Bar Stool,3648.76
145,Bed Model 145,Bar Stool,5059.8
146,Bar Stool Model 146,Study Desk,3583.93
147,Study Desk Model 147,Study Desk,8294.62
148,Wardrobe Model 148,Bar Stool,2180.04
149,Dining Table Model 149,Study Desk,6509.61
150,Bed Model 150,Bed,9893.93
151,Office Furniture Model 151,Dining Table,9123.01
152,Sofa Model 152,Office Furniture,2999.41
153,Bed Model 153,Office Furniture,1000.74
154,Bed Model 154,Bar Stool,9825.38
155,Sofa Model 155,Bed,8944.42
156,Bar Stool Model 156,Dining Table,9275.25
157,Office Furniture Model 157,Sofa,4739.53
158,Sofa Model 158,Office Furniture,7701.54
159,Sofa Model 159,Office Furniture,2915.48
160,Study Desk Model 160,Office Furniture,4530.74
161,Office Furniture Model 161,Bed,8663.93
162,Bar Stool Model 162,Dining Table,2148.51
163,Bed Model 163,Study Desk,9044.79
164,Office Furniture Model 164,Bar Stool,5468.57
165,Office Furniture Model 165,Bed,4834.86
166,Dining Table Model 166,Sofa,3750.82
167,Bar Stool Model 167,Study Desk,9251.64
168,Wardrobe Model 168,Bar Stool,5658.61
169,Dining Table Model 169,Office Furniture,8236.24
170,Study Desk Model 170,Wardrobe,8718.87
171,Bed Model 171,Bed,9301.44
172,Sofa Model 172,Study Desk,3730.43
173,Bed Model 173,Wardrobe,4058.3
174,Bar Stool Model 174,Bed,6355.66
175,Wardrobe Model 175,Office Furniture,4971.92
176,Dining Table Model 176,Study Desk,9395.58
177,Sofa Model 177,Wardrobe,4578.08
178,Wardrobe Model 178,Sofa,5300.0
179,Bar Stool Model 179,Bed,6554.67
180,Bed Model 180,Bed,4642.66
181,Sofa Model 181,Wardrobe,9932.31
182,Office Furniture Model 182,Study Desk,1889.66
183,Bar Stool Model 183,Wardrobe,2985.43
184,Bed Model 184,Office Furniture,3903.9
185,Wardrobe Model 185,Wardrobe,2329.51
186,Office Furniture Model 186,Office Furniture,3557.97
187,Bar Stool Model 187,Bed,8013.21
188,Wardrobe Model 188,Wardrobe,5706.03
189,Wardrobe Model 189,Office Furniture,1305.58
190,Wardrobe Model 190,Bar Stool,9843.6
191,Bed Model 191,Bed,6544.06
192,Bed Model 192,Bed,1530.46
193,Dining Table Model 193,Office Furniture,6950.52
194,Sofa Model 194,Sofa,4405.32
195,Bar Stool Model 195,Dining Table,2221.06
196,Sofa Model 196,Office Furniture,6072.98
197,Sofa Model 197,Office Furniture,7543.72
198,Wardrobe Model 198,Dining Table,7040.14
199,Bed Model 199,Bed,3227.62
200,Wardrobe Model 200,Bar Stool,5723.8
201,Wardrobe Model 201,Office Furniture,5838.97
202,Study Desk Model 202,Bed,7451.23
203,Study Desk Model 203,Study Desk,4238.81
204,Study Desk Model 204,Study Desk,8179.59
205,Study Desk Model 205,Sofa,6651.3
206,Wardrobe Model 206,Wardrobe,1344.98
207,Dining Table Model 207,Bar Stool,5918.31
208,Sofa Model 208,Sofa,8757.21
209,Dining Table Model 209,Office Furniture,6108.17
210,Dining Table Model 210,Bar Stool,2582.45
211,Office Furniture Model 211,Dining Table,5593.39
212,Study Desk Model 212,Office Furniture,7812.51
213,Bed Model 213,Bed,1990.95
