supplier_id,supplier_name,supplier_contact,city_id
1,Supplier_1,9386247947,8
2,Supplier_2,7513954658,8
3,Supplier_3,8677936455,10
4,Supplier_4,7958787046,4
5,Supplier_5,7326707182,10
6,Supplier_6,8934172610,2
7,Supplier_7,7435363654,2
8,Supplier_8,8156316612,6
9,Supplier_9,8413064211,5
10,Supplier_10,9636511935,1
11,Supplier_11,9105548166,2
12,Supplier_12,7673496715,3
13,Supplier_13,7343171450,1
14,Supplier_14,9667854820,6
15,Supplier_15,8692672831,8
16,Supplier_16,8352791557,2
17,Supplier_17,9828498431,10
18,Supplier_18,8789012582,6
19,Supplier_19,8489323487,5
20,Supplier_20,7630240845,1
21,Supplier_21,9885806313,4
22,Supplier_22,9021183244,9
23,Supplier_23,8258652488,5
24,Supplier_24,8124810209,7
25,Supplier_25,8015663383,7
26,Supplier_26,7325615111,1
27,Supplier_27,8544481458,1
28,Supplier_28,8003103291,5
29,Supplier_29,9142678665,2
30,Supplier_30,9679788375,10
31,Supplier_31,7578691819,6
32,Supplier_32,7671257013,2
33,Supplier_33,7109730039,3
34,Supplier_34,9402216374,1
35,Supplier_35,7298332642,5
36,Supplier_36,7090494080,7
37,Supplier_37,7925006679,7
38,Supplier_38,7978038019,3
39,Supplier_39,7532441582,5
40,Supplier_40,9147912040,1
41,Supplier_41,7681536561,5
42,Supplier_42,7501796920,8
43,Supplier_43,7089560372,4
44,Supplier_44,9239852448,3
45,Supplier_45,7155861690,2
46,Supplier_46,9647007550,2
47,Supplier_47,9780303027,7
48,Supplier_48,8237679052,5
49,Supplier_49,7819735823,8
50,Supplier_50,9484901435,10
51,Supplier_51,8470333590,3
52,Supplier_52,7620212029,6
53,Supplier_53,8364393046,3
54,Supplier_54,9172829646,4
55,Supplier_55,7965295681,3
56,Supplier_56,8987205806,3
57,Supplier_57,8535030626,2
58,Supplier_58,8430628052,1
59,Supplier_59,8119214761,8
60,Supplier_60,7102042243,7
61,Supplier_61,8074746144,3
62,Supplier_62,7934992652,2
63,Supplier_63,8711642926,6
64,Supplier_64,7902369691,10
65,Supplier_65,9816324040,6
66,Supplier_66,9719893540,3
67,Supplier_67,9433475267,6
68,Supplier_68,7664962086,6
69,Supplier_69,8306070343,3
70,Supplier_70,9391978297,10
