snapshot_id,date_id,product_id,city_id,inventory_on_hand,inventory_reserved,inventory_damaged
1,127,343,1,35,337,5
2,407,274,9,979,408,100
3,347,62,8,351,285,67
4,155,15,1,775,69,94
5,45,363,8,581,271,76
6,388,130,1,542,237,65
7,110,405,3,388,181,66
8,129,360,5,589,496,17
9,331,327,9,813,182,74
10,367,67,4,278,330,48
11,153,135,8,120,339,64
12,353,358,9,862,352,71
13,260,285,9,144,291,51
14,475,205,8,512,324,26
15,301,342,3,627,234,79
16,156,11,8,647,409,46
17,495,331,10,287,499,59
18,460,151,6,519,414,18
19,426,462,8,8,476,14
20,426,289,2,614,103,88
21,248,70,5,954,425,3
22,428,25,6,103,78,88
23,269,396,3,761,221,32
24,96,164,1,169,63,23
25,410,493,6,367,328,72
26,61,440,8,742,397,79
27,439,126,8,500,45,33
28,81,486,6,753,370,3
29,243,51,6,714,75,0
30,131,185,8,804,341,20
31,279,322,6,778,262,60
32,289,319,3,239,364,80
33,324,158,4,283,121,12
34,56,71,9,270,439,96
35,490,253,2,577,473,36
36,39,364,5,83,224,62
37,174,131,4,3,423,13
38,467,393,7,760,281,46
39,310,360,3,475,134,41
40,243,466,1,984,344,12
41,497,29,9,114,387,32
42,42,307,8,992,436,86
43,244,321,5,14,109,2
44,114,429,7,926,45,61
45,408,109,7,827,126,87
46,134,370,5,659,217,2
47,427,469,2,343,35,10
48,195,225,3,180,428,17
49,288,142,4,605,260,11
50,189,470,2,171,94,18
51,452,378,3,372,220,77
52,333,269,10,670,258,48
53,311,464,6,610,27,79
54,301,97,4,15,298,67
55,244,461,1,934,217,69
56,400,19,7,994,482,46
57,73,132,7,354,465,36
58,320,95,4,331,225,16
59,455,365,4,820,357,23
60,85,14,10,248,490,27
61,73,12,10,786,42,82
62,461,331,8,979,303,61
63,404,9,2,932,386,28
64,371,427,5,219,22,68
65,72,22,3,166,72,53
66,214,397,4,894,322,54
67,234,64,2,56,351,80
68,97,293,4,395,438,17
69,306,12,9,586,469,62
70,397,73,5,910,295,93
71,290,106,6,830,360,89
72,185,435,6,349,93,13
73,224,209,1,955,395,82
74,292,397,3,500,4,3
75,11,408,2,772,387,62
76,339,64,2,833,172,50
77,201,318,6,251,76,39
78,484,68,4,901,151,50
79,405,384,2,147,359,43
80,376,364,2,517,136,33
81,41,172,1,592,312,47
82,208,383,3,372,31,50
83,52,83,1,867,353,72
84,174,256,1,67,324,87
85,246,176,9,59,123,76
86,484,299,4,744,59,34
87,105,129,6,403,218,97
88,386,442,10,640,246,67
89,185,357,8,171,249,74
90,345,61,10,367,182,82
91,322,121,9,106,352,46
92,150,488,6,393,303,95
93,248,258,6,828,1,42
94,428,234,9,839,245,2
95,80,474,1,706,122,54
96,121,313,9,699,326,26
97,452,35,7,719,271,37
98,61,8,3,209,24,34
99,163,429,7,425,158,70
100,6,482,8,913,141,49
101,212,391,7,211,29,7
102,474,54,6,715,18,61
103,358,123,5,278,278,31
104,227,3,6,982,205,3
105,325,186,8,968,499,27
106,452,493,9,514,191,35
107,237,98,10,293,171,67
108,290,292,9,309,125,57
109,103,121,10,490,372,27
110,85,45,5,437,445,31
111,432,351,1,6,39,42
112,435,498,8,615,491,19
113,76,267,10,772,169,45
114,358,45,2,508,448,49
115,447,357,7,665,201,9
116,245,294,1,909,386,53
117,176,378,3,712,37,30
118,225,20,10,912,491,4
119,256,469,9,510,29,59
120,184,297,6,976,14,59
121,463,125,9,157,212,10
122,431,59,10,752,350,26
123,347,333,3,978,141,85
124,171,385,1,252,78,8
125,173,430,1,548,102,57
126,311,405,9,812,420,100
127,17,68,8,263,424,62
128,153,242,5,750,411,55
129,241,138,10,989,451,74
130,449,379,1,236,148,19
131,316,62,9,575,112,31
132,107,214,1,115,477,28
133,250,206,7,753,267,54
134,135,63,4,634,333,9
135,285,16,9,827,200,48
136,35,130,3,527,478,87
137,287,382,6,129,424,19
138,479,360,6,997,278,77
139,302,86,10,935,159,36
140,226,321,4,661,200,35
141,435,448,9,996,120,39
142,453,81,8,383,370,73
143,303,447,2,501,81,5
144,377,209,2,1000,475,5
145,147,25,3,215,160,4
146,101,277,2,947,477,52
147,120,395,2,816,492,13
148,404,54,8,715,119,84
149,211,329,2,891,495,86
150,433,75,6,389,384,40
151,394,337,3,542,314,90
152,187,132,6,236,236,61
153,417,420,7,874,39,7
154,359,113,6,779,474,81
155,443,99,2,672,22,78
156,118,462,3,635,165,24
157,337,64,10,580,404,16
158,155,4,4,660,268,17
159,93,346,10,176,166,3
160,366,435,7,972,393,80
161,4,480,7,401,446,83
162,442,147,4,236,436,12
163,33,334,8,320,69,44
164,110,418,9,49,222,60
165,15,379,6,249,33,2
166,416,360,2,824,274,31
167,423,133,9,211,448,64
168,182,67,1,582,401,18
169,69,233,8,126,422,9
170,467,183,1,11,407,38
171,331,15,10,556,336,76
172,132,125,10,1,187,43
173,151,113,9,815,218,65
174,267,464,4,674,132,21
175,74,59,5,478,475,19
176,232,238,4,823,118,90
177,236,386,10,647,475,73
178,457,337,10,607,138,98
179,296,32,3,253,82,4
180,376,343,9,701,467,97
181,370,123,4,971,256,84
182,160,73,8,297,189,68
183,498,224,1,669,337,2
184,151,194,8,211,401,72
185,152,492,6,599,140,73
186,95,499,5,842,361,0
187,379,415,8,212,63,12
188,479,405,10,101,264,71
189,461,477,3,730,86,22
190,13,95,2,375,119,29
191,418,142,8,217,245,15
192,475,345,9,804,90,0
193,446,250,6,544,485,98
194,31,152,9,231,84,47
195,310,303,9,479,170,20
196,426,328,3,307,107,33
197,417,138,7,477,37,68
198,407,356,8,738,309,58
199,55,301,10,68,97,74
200,269,273,9,788,286,89
201,157,360,9,841,430,72
202,70,436,2,494,358,100
203,441,267,5,589,414,74
204,250,44,4,578,336,0
205,159,125,9,185,32,100
206,9,378,7,308,180,86
207,11,45,1,536,477,73
208,131,223,5,486,368,42
209,393,288,2,328,133,29
210,149,214,2,794,225,3
211,379,294,3,218,203,81
212,459,311,1,482,185,73
213,357,1,7,743,218,50
214,294,157,6,158,419,0
215,474,1,10,284,341,6
216,448,350,8,470,382,94
217,159,168,6,496,269,85
218,37,450,8,807,234,35
219,410,257,10,331,124,40
220,112,153,1,662,222,79
221,294,95,6,551,376,98
222,293,299,2,520,23,60
223,407,423,5,787,14,36
224,369,162,6,934,128,64
225,388,434,2,502,360,67
226,109,308,9,307,315,20
227,294,102,10,143,119,93
228,131,372,4,425,262,73
229,125,313,2,212,171,41
230,109,414,9,825,497,98
231,144,207,10,122,216,29
232,171,451,8,228,403,100
233,129,420,1,211,261,98
234,84,466,6,896,451,1
235,360,255,3,592,195,77
236,432,339,4,608,330,19
237,104,143,4,463,437,90
238,172,87,10,572,183,59
239,238,239,1,927,296,34
240,477,496,4,425,486,15
241,304,135,9,211,250,37
242,214,418,7,43,280,36
243,28,45,5,743,357,45
244,73,476,1,517,181,70
245,214,410,2,141,458,40
246,3,327,1,736,315,82
247,323,439,9,139,370,1
248,324,118,9,785,191,90
249,315,372,10,612,241,12
250,395,316,6,2,130,100
251,353,89,2,782,152,91
252,454,103,7,211,482,88
253,399,198,10,807,355,43
254,83,354,3,920,75,24
255,383,17,8,737,414,41
256,396,246,6,482,204,3
257,108,249,2,261,150,76
258,86,143,6,639,162,51
259,421,199,8,272,314,9
260,246,93,1,622,226,45
261,353,225,8,660,463,16
262,34,419,6,642,209,14
263,364,243,6,660,162,23
264,70,281,6,711,145,69
265,57,45,1,130,117,43
266,185,282,8,971,37,26
267,355,162,10,646,109,11
268,425,257,2,590,67,7
269,10,325,1,191,0,41
270,218,369,9,192,202,39
271,295,304,2,846,25,73
272,207,447,8,339,42,10
273,231,348,6,872,104,43
274,384,119,4,935,393,60
275,26,321,3,381,164,24
276,464,328,5,674,160,87
277,6,17,2,456,438,8
278,357,404,9,258,55,82
279,227,30,7,199,398,11
280,310,55,4,832,262,52
281,342,257,8,942,395,63
282,287,57,2,735,276,89
283,115,272,2,389,144,2
284,198,224,10,370,284,29
285,92,412,10,543,196,10
286,225,367,9,486,28,30
287,126,487,5,908,43,8
288,350,394,5,474,167,14
289,258,22,7,346,27,73
290,430,348,9,614,443,51
291,387,310,3,951,315,69
292,201,336,5,972,88,72
293,295,35,3,887,127,52
294,394,220,1,729,323,29
295,182,489,9,963,160,52
296,276,497,10,835,276,81
297,373,328,8,79,473,94
298,96,155,1,579,348,20
299,383,193,1,797,324,83
300,315,450,2,344,205,86
301,290,306,6,995,363,88
302,230,434,5,900,361,94
303,255,7,5,76,142,46
304,227,426,10,3,52,29
305,45,79,9,258,157,17
306,476,254,1,767,412,50
307,193,223,8,757,239,16
308,202,21,9,984,474,17
309,31,379,3,756,39,17
310,331,94,10,398,73,39
311,382,57,10,873,298,94
312,320,382,2,314,133,78
313,476,103,1,883,162,37
314,449,468,3,899,442,32
315,170,468,2,179,48,10
316,376,462,10,850,362,51
317,318,95,6,580,135,52
318,250,238,7,53,243,44
319,208,495,1,36,448,88
320,460,83,4,885,496,85
321,94,221,10,73,95,85
322,158,340,5,699,239,80
323,314,53,8,937,313,42
324,302,205,8,260,338,12
325,3,2,4,915,20,71
326,499,76,2,710,348,25
327,297,348,5,484,437,84
328,382,442,5,384,327,24
329,398,361,4,230,485,55
330,10,238,10,601,447,57
331,395,396,6,362,206,92
332,423,69,8,536,375,49
333,357,204,5,151,303,51
334,454,72,6,799,474,56
335,472,482,6,834,199,93
336,292,400,1,292,22,22
337,76,310,7,946,443,49
338,377,309,9,870,340,20
339,416,292,2,589,420,2
340,366,64,7,28,205,11
341,76,304,10,400,196,98
342,409,323,1,724,111,0
343,269,267,2,741,47,8
344,436,78,10,815,266,11
345,340,367,6,853,239,99
346,182,263,1,162,305,64
347,37,200,3,343,332,88
348,172,194,2,262,51,33
349,359,16,5,566,235,25
350,53,470,8,782,346,38
351,351,429,9,403,395,66
352,139,349,8,323,431,42
353,8,358,6,328,422,30
354,16,143,2,730,353,96
355,183,181,8,76,278,66
356,357,116,2,662,323,81
357,364,70,8,52,379,100
358,301,138,9,553,79,30
359,448,497,4,969,414,42
360,178,172,1,575,315,41
361,477,401,7,67,22,38
362,491,343,4,521,345,92
363,113,31,5,574,464,59
364,343,38,2,998,53,36
365,238,373,8,96,336,6
366,282,353,8,816,382,9
367,326,170,1,620,128,63
368,459,500,4,49,393,72
369,408,471,2,265,70,38
370,472,153,7,651,330,68
371,52,2,7,101,411,34
372,137,65,10,220,292,55
373,178,98,6,15,497,15
374,377,243,9,288,15,70
375,66,500,2,160,183,38
376,338,134,7,941,99,63
377,164,60,10,693,315,34
378,442,372,4,590,43,11
379,52,185,10,495,477,67
380,204,490,9,256,128,40
381,207,225,4,260,2,3
382,121,284,9,495,334,82
383,232,166,9,132,436,80
384,5,62,5,799,69,78
385,458,287,5,629,291,52
386,54,478,7,493,439,51
387,270,248,5,717,185,55
388,68,350,8,931,235,37
389,353,319,5,753,292,21
390,365,110,7,514,256,98
391,14,3,8,348,353,75
392,301,48,6,576,59,65
393,342,162,7,662,325,73
394,11,100,1,4,181,90
395,145,130,8,165,101,58
396,90,325,3,18,459,0
397,126,474,2,216,93,91
398,312,100,10,272,105,0
399,8,188,2,489,318,44
400,34,495,4,714,408,69
401,323,286,9,610,147,32
402,351,229,10,762,241,81
403,294,389,2,324,213,96
404,384,296,5,529,366,80
405,303,31,7,640,440,33
406,385,32,5,85,69,15
407,122,3,5,489,360,56
408,27,228,1,910,225,34
409,331,258,3,66,160,59
410,303,161,4,455,411,6
411,76,410,8,695,114,57
412,136,165,6,954,304,71
413,490,356,8,991,243,50
414,147,449,3,413,449,52
415,397,237,10,360,45,35
416,77,80,1,636,270,72
417,267,289,10,96,129,98
418,2,167,9,272,249,62
419,497,297,1,219,4,41
420,289,357,9,714,459,75
421,71,286,6,865,444,77
422,86,82,4,889,415,81
423,455,339,7,996,237,92
424,500,438,1,338,12,86
425,308,346,6,410,121,58
426,166,405,1,464,222,38
427,473,4,5,499,151,64
428,478,376,6,511,3,12
429,397,346,10,64,137,13
430,130,213,4,890,126,88
431,396,450,2,886,176,77
432,290,8,10,736,106,1
433,53,7,10,648,269,54
434,8,71,7,592,454,30
435,249,377,1,103,208,90
436,313,255,8,661,327,58
437,284,92,10,61,30,36
438,160,495,9,658,209,48
439,135,76,8,876,177,12
440,177,131,2,281,124,72
441,461,464,4,982,377,73
442,298,85,5,266,485,75
443,390,233,1,213,413,97
444,316,104,5,363,441,25
445,275,305,1,428,46,21
446,429,260,4,541,347,49
447,316,419,4,905,290,83
448,495,219,2,161,462,8
449,469,334,6,542,376,100
450,244,176,9,505,433,44
451,375,229,7,770,464,97
452,63,440,10,730,102,51
453,410,463,9,901,46,21
454,68,149,6,624,3,65
455,459,474,3,695,490,34
456,340,32,3,332,391,6
457,49,395,9,165,448,66
458,271,418,9,850,283,89
459,149,28,4,402,248,39
460,177,8,4,95,97,38
461,188,2,2,757,73,4
462,439,122,5,228,11,68
463,363,219,8,235,125,89
464,187,283,5,598,38,71
465,195,175,2,531,180,35
466,12,425,2,380,223,76
467,325,311,10,616,136,55
468,338,132,10,374,480,31
469,85,19,5,640,26,72
470,328,4,3,14,76,61
471,85,132,3,77,115,35
472,491,448,4,153,249,100
473,46,43,6,229,213,14
474,498,278,9,243,218,80
475,205,127,6,139,90,100
