return_id,rental_id,product_id,customer_id,date_id,city_id,quantity_returned,reason_for_return
1,300,193,499,370,6,1,Size Issue
2,124,144,52,376,7,1,Size Issue
3,253,215,322,210,10,1,Delivery Delay
4,339,256,244,474,9,1,Delivery Delay
5,77,245,392,230,7,2,Damaged
6,253,176,430,169,4,2,Late Return
7,283,232,148,151,3,2,Delivery Delay
8,125,127,154,327,3,2,Late Return
9,117,436,391,394,3,2,Damaged
10,445,230,271,449,2,1,Not as Expected
11,495,236,86,235,4,2,Size Issue
12,215,87,29,199,7,2,Delivery Delay
13,499,488,173,332,1,1,Late Return
14,60,57,55,227,5,1,Late Return
15,335,139,254,175,6,2,Not as Expected
16,237,330,269,149,7,1,Delivery Delay
17,358,455,441,230,3,1,Damaged
18,287,80,4,326,7,1,Delivery Delay
19,432,122,202,36,3,1,Size Issue
20,375,427,114,106,9,2,Damaged
21,451,420,277,476,6,2,Not as Expected
22,100,223,29,269,5,2,Damaged
23,170,296,21,259,8,1,Delivery Delay
24,400,282,431,59,10,1,Late Return
25,134,79,287,388,2,2,Size Issue
26,227,154,33,338,7,2,Late Return
27,221,468,360,267,6,2,Damaged
28,316,405,460,486,4,2,Size Issue
29,455,347,301,419,9,1,Not as Expected
30,433,23,6,497,4,2,Delivery Delay
31,64,343,474,326,1,1,Damaged
32,325,355,423,385,3,1,Delivery Delay
33,279,381,185,291,2,2,Late Return
34,142,243,131,57,10,1,Damaged
35,360,427,309,252,1,2,Delivery Delay
36,443,251,298,53,6,2,Delivery Delay
37,24,293,384,19,2,2,Late Return
38,137,386,349,35,9,2,Not as Expected
39,498,405,55,75,1,1,Damaged
40,364,171,113,87,8,1,Damaged
41,318,402,491,55,4,1,Damaged
42,323,240,335,280,3,2,Size Issue
43,355,398,332,486,6,2,Damaged
44,172,412,204,174,7,1,Damaged
45,188,456,94,348,10,2,Not as Expected
46,375,344,487,241,4,2,Not as Expected
47,311,195,167,332,2,1,Late Return
48,278,302,362,127,8,2,Size Issue
49,73,395,114,373,6,1,Damaged
50,456,25,253,387,9,1,Damaged
51,422,467,38,414,10,2,Delivery Delay
52,118,51,405,62,7,1,Not as Expected
53,85,76,198,90,10,1,Not as Expected
54,382,500,217,152,7,1,Size Issue
55,200,189,277,139,3,2,Delivery Delay
56,100,264,337,283,8,2,Delivery Delay
57,391,417,322,282,4,1,Delivery Delay
58,12,217,308,480,9,1,Damaged
59,468,36,101,179,7,2,Not as Expected
60,166,69,422,305,10,1,Late Return
61,34,449,106,296,3,2,Damaged
62,336,146,273,339,6,2,Not as Expected
63,396,154,114,173,2,1,Not as Expected
64,298,109,46,491,7,1,Delivery Delay
65,64,187,232,31,10,1,Damaged
66,388,255,118,319,9,1,Damaged
67,403,406,441,350,5,2,Size Issue
68,219,20,118,345,7,2,Late Return
69,19,164,358,2,4,1,Not as Expected
70,248,100,322,68,6,2,Late Return
71,342,398,435,26,2,1,Late Return
72,163,338,45,98,6,2,Not as Expected
73,169,240,457,458,1,2,Damaged
74,450,131,295,356,2,2,Damaged
75,481,249,79,135,5,2,Delivery Delay
76,389,442,334,408,3,2,Not as Expected
77,39,275,51,24,5,2,Delivery Delay
78,222,352,386,433,1,1,Size Issue
79,404,160,160,211,4,2,Delivery Delay
80,160,33,112,414,2,2,Damaged
81,296,424,488,150,8,2,Late Return
82,260,157,241,387,8,2,Not as Expected
83,155,445,279,177,1,1,Delivery Delay
84,359,42,394,110,10,2,Late Return
85,287,261,163,353,3,1,Damaged
86,222,149,232,256,5,2,Not as Expected
87,193,358,415,359,8,2,Late Return
88,336,390,136,300,4,2,Damaged
89,285,495,152,356,5,1,Damaged
90,313,320,114,341,10,2,Late Return
91,181,90,367,34,8,2,Late Return
92,93,132,231,494,6,2,Not as Expected
93,83,288,58,496,2,2,Late Return
94,58,263,373,97,4,1,Late Return
95,275,199,444,143,3,1,Size Issue
96,284,495,305,201,7,2,Size Issue
97,243,454,231,408,10,1,Delivery Delay
98,207,293,475,321,1,2,Not as Expected
99,401,21,350,295,6,2,Size Issue
100,98,197,291,125,1,1,Late Return
101,11,315,394,52,7,1,Late Return
102,228,240,374,32,2,1,Damaged
103,460,175,325,31,1,2,Size Issue
104,235,449,323,420,2,1,Size Issue
105,374,389,493,463,7,1,Not as Expected
106,22,480,161,234,9,1,Not as Expected
107,386,270,310,150,4,1,Delivery Delay
108,153,100,356,234,10,1,Damaged
109,428,136,262,124,1,2,Not as Expected
110,455,411,166,60,8,1,Size Issue
111,319,253,81,172,10,1,Size Issue
112,84,210,75,210,6,1,Late Return
113,223,212,328,129,2,2,Late Return
114,483,200,20,312,5,1,Late Return
115,200,225,406,484,8,2,Late Return
116,234,8,20,405,9,2,Size Issue
117,212,57,376,434,5,1,Late Return
118,46,462,330,132,6,2,Size Issue
119,96,124,182,458,5,1,Size Issue
120,439,39,166,280,9,1,Damaged
121,279,268,149,470,6,2,Not as Expected
122,175,422,285,217,2,2,Delivery Delay
123,255,4,13,316,8,2,Delivery Delay
124,248,268,462,473,10,2,Late Return
125,209,40,317,332,10,1,Late Return
126,290,153,49,157,7,1,Size Issue
127,217,470,147,328,8,2,Delivery Delay
128,420,100,159,375,8,1,Late Return
129,151,304,112,487,5,1,Late Return
130,120,377,484,141,2,1,Delivery Delay
131,450,255,451,244,5,1,Size Issue
132,20,68,496,231,10,2,Not as Expected
133,489,419,153,138,10,1,Size Issue
134,122,318,161,491,3,2,Size Issue
135,62,415,193,15,6,2,Delivery Delay
136,272,13,155,470,5,2,Size Issue
