rental_id,product_id,customer_id,date_id,city_id,quantity,total_amount,discount_amount,rating
1,108,411,194,7,2,12163.26,2920.69,4.9
2,246,172,52,9,2,13700.23,1198.85,1.1
3,241,308,430,7,1,5154.96,2277.6,2.6
4,335,384,212,5,3,16434.2,3927.78,1.4
5,110,176,254,7,5,19088.2,2637.28,3.4
6,487,267,142,7,1,8696.08,3247.5,4.5
7,143,9,402,4,3,13804.78,4850.49,3.8
8,68,183,85,5,2,16612.69,225.2,3.7
9,387,28,236,9,1,13440.3,508.73,4.4
10,169,414,247,5,4,12669.28,491.64,3.4
11,435,65,243,2,4,10089.9,1166.47,1.1
12,196,338,185,8,2,7945.78,3099.26,2.3
13,82,139,119,4,2,6837.84,3755.61,4.0
14,476,190,176,3,3,14656.55,505.91,3.1
15,458,405,493,10,5,11598.17,3724.02,4.6
16,50,360,402,1,2,8011.74,2143.32,3.9
17,73,433,433,7,1,13590.09,2789.35,2.4
18,203,418,255,3,1,4711.69,919.04,1.3
19,242,303,382,3,2,2542.82,4228.99,2.5
20,367,466,168,10,4,2154.05,4482.13,1.9
21,130,352,365,4,5,6094.36,972.49,4.9
22,451,131,204,9,2,3138.26,3610.82,4.7
23,131,353,162,9,3,13692.02,4293.63,2.0
24,404,209,438,2,1,13804.63,3504.36,2.8
25,469,434,301,7,3,17540.37,3471.93,4.6
26,333,9,389,4,5,15310.88,2601.45,3.0
27,42,201,231,9,5,9620.82,108.23,3.1
28,350,206,28,8,3,9036.49,787.67,1.5
29,387,123,99,4,3,9537.69,199.57,4.9
30,212,430,490,3,5,8184.3,1910.55,1.2
31,36,448,332,4,2,9106.77,78.73,1.1
32,226,256,367,2,3,7442.89,4104.84,2.8
33,367,226,413,9,1,1281.97,816.1,4.0
34,129,5,237,4,5,15027.58,3772.61,2.4
35,241,58,373,4,1,7693.26,4010.38,2.6
36,7,70,148,2,3,14816.63,2905.62,2.5
37,477,489,96,7,5,2520.12,580.63,4.6
38,460,105,50,2,3,9594.47,4970.02,2.5
39,176,266,152,9,2,5749.13,1752.7,2.4
40,66,344,431,1,3,13109.78,63.69,4.1
41,127,313,340,8,3,8911.88,2161.2,2.9
42,157,262,415,6,5,9535.04,2487.35,2.4
43,406,26,221,1,5,9613.58,2023.26,3.1
44,465,496,485,8,3,12842.11,1205.2,3.0
45,411,194,220,4,1,12297.82,84.74,3.1
46,109,35,73,8,3,5546.57,2022.69,4.3
47,355,295,449,2,1,7198.48,2416.08,1.1
48,91,41,207,7,3,6866.27,3198.61,2.3
49,308,483,412,6,2,4910.15,1453.28,4.8
50,364,195,329,3,3,2649.23,2316.79,1.2
51,215,451,163,8,1,11234.51,730.18,3.5
52,340,316,451,7,5,6023.55,3454.58,2.4
53,359,306,434,7,4,1079.2,1474.47,1.3
54,148,253,479,7,2,10405.75,1444.45,3.6
55,165,65,432,4,5,10498.78,180.22,2.3
56,392,431,283,4,3,10292.12,2861.02,1.4
57,19,426,65,9,5,13349.45,1718.49,1.7
58,104,415,274,10,5,16301.21,343.12,4.7
59,436,131,405,8,3,14419.06,2377.96,1.0
60,240,29,423,10,1,8412.38,3228.99,4.4
61,487,412,401,9,5,12737.52,1988.54,2.8
62,10,496,432,6,3,17592.61,1756.79,1.3
63,410,218,330,10,5,9410.78,4992.3,2.5
64,366,51,325,4,4,4668.04,225.65,1.7
65,225,344,194,4,4,7157.22,2871.39,3.7
66,255,216,94,9,1,1813.56,4680.9,1.9
67,25,233,152,8,3,3832.18,2654.15,3.7
68,359,107,145,3,5,6837.8,3347.21,2.2
69,131,446,264,1,2,18141.26,4403.47,1.3
70,69,395,16,10,1,3857.65,3490.29,1.0
71,188,213,183,2,1,16614.46,1781.2,4.0
72,36,237,177,5,3,1840.51,1046.32,1.3
73,432,46,333,7,3,4416.65,1922.11,3.0
74,148,287,397,7,1,18405.74,3135.87,3.8
75,228,264,50,5,1,2560.1,1433.94,5.0
76,353,84,362,4,4,11648.02,3939.09,1.1
77,151,357,442,5,2,2597.45,546.17,1.1
78,380,167,223,10,2,18517.6,1268.18,5.0
79,320,353,185,7,2,15024.47,1253.05,5.0
80,159,120,450,6,5,17502.14,824.99,1.7
81,187,257,281,2,5,13923.54,391.4,3.3
82,67,117,6,3,3,2265.46,1106.49,4.8
83,426,78,436,8,1,10472.86,2868.56,2.1
84,280,470,331,7,1,9361.17,665.01,3.1
85,180,283,367,5,3,2025.16,241.25,3.7
86,271,181,21,5,4,2044.65,2606.42,2.1
87,69,318,73,2,3,4566.18,2866.59,2.2
88,310,253,422,6,1,9671.27,694.87,1.5
89,113,240,250,10,5,3024.05,357.8,3.2
90,444,370,462,5,1,15364.1,3961.83,4.8
91,350,56,226,4,1,4199.45,678.09,2.9
92,182,238,48,10,2,17359.14,3835.35,3.2
93,125,90,102,4,1,3978.88,1956.31,3.9
94,173,140,194,7,3,8094.84,195.6,3.3
95,500,34,107,8,1,14682.56,3573.86,1.7
96,15,464,46,1,3,7383.84,2045.86,2.7
97,291,493,365,5,3,3169.01,1927.66,3.0
98,157,180,278,7,3,14500.65,2847.24,2.6
99,63,290,341,7,3,18624.35,2990.42,4.9
100,90,471,241,10,4,17480.15,3368.13,4.6
101,191,161,292,1,3,19833.55,1104.39,3.8
102,172,394,478,3,4,18456.81,87.0,4.2
103,193,272,222,2,5,2698.66,4582.77,3.4
104,74,89,29,4,2,4079.32,197.05,4.3
105,76,84,95,3,2,3650.35,4697.71,1.4
106,345,266,17,8,1,16921.59,2117.66,4.5
107,110,72,1,6,1,15602.91,4264.41,2.9
108,134,404,330,8,4,14561.6,1593.34,1.2
109,330,53,190,6,1,5415.6,6.81,2.5
110,73,23,190,5,2,10382.75,97.04,1.0
111,436,96,295,3,3,14042.81,502.18,1.3
112,240,434,234,2,2,10416.37,3590.8,4.9
113,363,414,437,8,4,6612.55,587.59,1.3
114,23,307,99,2,5,4942.7,500.27,1.0
115,39,339,271,2,2,6416.4,821.03,1.1
116,209,454,320,3,1,7738.01,4129.58,2.2
117,387,273,112,3,2,14491.89,3643.67,1.1
118,175,326,166,7,4,19273.92,695.05,3.9
119,81,42,81,1,3,8209.42,4341.11,5.0
120,487,472,373,1,4,4673.14,4097.28,3.0
121,56,287,118,1,2,19343.19,3290.44,3.4
122,421,93,322,4,2,5360.95,3593.5,2.2
123,311,45,1,3,3,17069.41,4886.32,1.0
124,245,55,68,7,3,19138.03,1792.3,3.0
125,190,90,226,3,4,18557.62,3879.79,2.0
126,57,323,37,3,5,2840.2,4206.13,4.0
127,492,357,22,3,5,17308.45,1920.21,3.0
128,422,406,4,4,3,9835.35,1573.61,2.3
129,338,132,185,8,1,14654.34,3765.36,4.5
130,85,148,471,1,4,17053.14,3769.69,2.3
131,275,351,417,6,2,14490.88,4863.12,4.7
132,426,349,269,3,3,19458.27,181.04,3.4
133,88,319,132,1,3,5091.52,1232.8,4.4
134,317,10,463,10,5,15253.64,1644.01,3.1
135,88,321,373,1,3,4578.27,19.14,4.6
136,229,403,63,9,1,14483.2,2644.09,1.2
