transaction_id,supplier_id,product_id,date_id,city_id,quantity_supplied,cost_amount
1,415,276,101,1,253,79224.16
2,73,392,22,5,269,65285.45
3,391,113,302,1,346,86871.73
4,250,135,92,5,31,17416.61
5,101,16,424,9,396,5313.02
6,208,111,404,3,473,30359.33
7,144,150,113,4,117,84803.38
8,163,360,356,8,220,17062.45
9,487,249,474,7,219,77565.03
10,406,184,132,4,58,93283.56
11,375,141,195,4,391,58273.35
12,121,2,278,7,484,88888.74
13,388,278,331,10,183,28569.93
14,87,53,394,8,250,73668.07
15,72,104,62,3,30,79112.63
16,139,301,298,3,118,51312.0
17,335,63,352,2,266,62261.54
18,32,459,285,10,365,13445.0
19,489,242,188,6,394,31251.98
20,57,307,289,8,183,12295.47
21,284,272,94,9,7,27746.89
22,167,216,191,3,153,89794.32
23,448,59,211,10,93,7930.36
24,226,189,350,8,261,52198.87
25,343,66,137,1,177,54653.27
26,239,57,29,5,341,32148.39
27,177,357,74,7,295,79254.22
28,12,477,134,5,41,61006.66
29,407,244,134,2,160,23548.27
30,293,35,109,6,163,49762.7
31,453,110,318,5,417,7220.0
32,97,474,287,9,253,6701.14
33,362,247,471,9,312,74814.18
34,134,88,12,2,117,21365.08
35,269,199,139,4,302,97005.8
36,28,202,432,9,66,39029.98
37,360,263,271,4,149,71378.03
38,167,378,125,6,130,48935.22
39,403,37,455,6,220,43898.91
40,464,258,499,5,369,68453.89
41,362,48,286,10,471,64475.44
42,499,336,250,6,110,88302.01
43,391,212,183,1,117,13020.03
44,74,460,471,8,195,53122.7
45,395,155,315,4,300,62730.08
46,207,197,345,4,121,66735.8
47,71,365,118,9,487,64420.61
48,87,499,350,1,351,39945.16
49,105,360,138,2,23,7952.32
50,468,178,287,5,113,72782.16
51,268,108,133,8,359,9164.75
52,318,442,443,10,438,49717.87
53,256,53,194,6,117,73316.7
54,39,355,445,4,292,30983.6
55,429,267,386,10,32,7641.05
56,20,412,330,9,193,13808.45
57,381,116,127,7,274,18215.08
58,296,406,426,1,140,68184.32
59,381,6,32,2,441,67085.4
60,201,422,85,10,422,97947.82
61,252,43,151,7,10,35768.39
62,476,254,55,7,254,17480.22
63,491,286,174,9,32,21390.49
64,47,143,28,3,159,8055.52
65,352,345,472,6,361,83268.44
66,442,75,118,9,379,12234.75
67,358,178,88,9,406,89897.71
68,454,259,178,9,493,9601.54
69,342,177,355,5,386,82264.63
70,221,182,129,2,196,23596.78
71,226,288,287,1,107,7192.9
72,11,75,296,5,303,71646.8
73,465,144,195,7,276,5251.75
74,249,58,172,4,160,33278.64
75,327,86,180,2,308,10423.81
76,269,383,191,2,412,16529.84
77,18,491,116,7,353,16913.99
78,346,391,128,5,72,73703.08
79,456,468,175,5,371,97354.7
80,230,445,354,10,392,28235.74
81,11,187,420,6,434,42896.09
82,3,82,382,1,445,40567.03
83,348,135,194,5,337,29395.73
84,167,235,460,3,396,72706.86
85,483,333,343,9,295,30774.68
86,381,322,229,2,445,53869.39
87,213,374,486,10,161,17326.28
88,441,26,101,9,239,85556.49
89,401,150,175,7,473,70300.4
90,114,104,376,1,203,56182.07
91,103,361,153,8,33,63338.12
92,51,213,496,9,47,26315.13
93,395,308,115,8,16,85185.3
94,220,77,184,10,492,16628.88
95,472,39,215,8,60,88709.48
96,405,454,44,1,446,63248.31
97,37,402,166,2,255,94335.23
98,370,391,136,5,56,32375.49
99,14,133,101,7,500,93861.22
100,86,370,154,2,210,65639.16
101,244,168,82,5,130,5948.89
102,332,483,352,2,152,14774.65
103,361,282,110,9,361,61322.42
104,124,69,77,10,453,14032.6
105,109,220,93,2,490,76048.29
106,332,4,433,8,203,68837.27
107,349,56,82,6,74,22797.45
108,300,168,343,6,54,65507.93
109,85,116,343,1,401,58838.37
110,468,447,115,2,77,28401.77
111,148,125,441,7,78,72218.5
112,256,260,268,2,179,28874.18
113,244,258,80,1,23,87149.13
114,262,140,98,5,142,42643.02
115,177,401,7,9,68,52050.68
116,381,385,216,4,184,67826.07
117,390,494,58,2,167,88881.71
118,462,44,46,4,110,48335.89
119,211,500,357,3,495,67215.57
120,28,32,178,3,108,61700.69
121,196,440,321,6,46,11854.42
122,88,300,114,6,5,65124.59
123,21,270,321,7,71,9404.87
124,185,112,438,1,381,53033.04
125,416,425,368,1,269,15120.08
126,356,60,62,5,461,62824.42
127,37,290,288,3,176,73493.48
128,341,372,439,6,94,79649.14
129,151,237,246,2,255,61051.06
130,376,112,413,9,142,98983.29
131,40,473,411,6,236,39190.36
132,104,261,87,2,136,6076.47
133,267,83,8,4,157,82750.05
134,438,167,399,10,96,47971.61
135,346,366,134,10,456,56545.43
136,221,456,277,7,325,85465.37
137,218,74,70,7,237,29889.05
138,30,288,82,7,382,36041.06
139,412,315,126,9,210,14187.47
140,384,476,465,4,183,69770.23
141,130,158,467,1,415,25234.51
142,33,423,240,7,74,86057.59
143,370,30,120,3,330,62975.84
144,282,180,253,5,496,91579.72
145,161,270,201,10,500,10794.52
146,210,34,193,7,190,99212.3
147,36,297,466,9,285,42790.34
148,300,355,230,5,333,56838.04
149,142,32,14,5,384,66154.74
150,452,462,146,10,372,51101.44
151,423,159,257,6,289,55149.39
152,211,106,269,4,82,44629.78
153,126,11,493,9,288,22753.92
154,25,352,298,9,129,97097.07
155,252,89,253,1,379,81104.13
156,458,223,128,2,94,61799.7
157,40,84,105,10,458,10375.28
158,243,444,240,6,51,89998.75
159,354,124,415,1,432,12353.53
160,326,102,309,3,390,79307.26
161,57,138,111,9,240,10589.02
162,118,79,174,1,443,77320.41
163,285,117,190,5,82,85234.78
164,348,110,460,7,388,47726.22
165,452,270,239,2,403,57685.92
166,482,27,197,9,191,84570.22
167,338,364,497,2,217,97215.29
168,347,456,205,1,417,6687.93
169,307,74,389,5,452,17329.8
170,43,434,224,9,469,87093.83
171,15,167,400,5,470,69462.1
172,29,399,118,10,1,30874.6
173,209,489,35,4,62,47287.03
174,475,194,249,4,318,15561.42
175,144,206,434,3,480,7724.69
176,185,452,65,2,498,74538.59
177,49,341,230,2,98,73786.84
178,316,160,286,10,378,70957.36
179,388,396,246,4,271,89022.77
180,314,45,235,7,476,32230.83
181,455,62,404,7,290,45243.69
182,5,254,10,1,278,28804.89
183,151,358,39,6,280,64404.24
184,114,60,27,8,209,65516.61
185,410,292,226,5,418,43738.86
186,478,314,291,7,196,93837.45
187,373,439,68,9,92,51412.25
188,351,149,206,7,131,92176.4
189,97,88,215,3,371,74393.38
190,110,63,193,1,478,94172.01
191,343,98,485,10,194,76981.59
192,92,420,62,6,399,26345.81
193,320,235,277,6,145,70518.08
194,395,110,217,6,72,27651.74
195,421,319,265,2,386,32608.23
196,35,74,478,7,134,26037.28
197,263,190,15,6,370,52155.6
198,336,432,116,6,84,46231.55
199,394,425,459,10,259,91177.91
200,466,377,480,10,8,61347.39
201,312,362,122,1,334,39178.41
202,164,322,318,3,374,64218.42
203,185,45,145,10,223,37445.63
204,176,481,189,8,468,84450.14
205,478,385,414,9,226,13463.02
206,401,111,103,6,282,25777.74
207,245,314,312,6,278,13934.79
208,480,317,479,8,362,87379.83
209,282,462,120,8,290,30846.34
210,84,344,317,7,269,99499.28
211,123,239,185,10,370,19430.84
212,4,205,329,4,253,35796.0
213,195,134,279,4,238,89865.95
214,354,228,246,3,269,65362.31
215,326,84,301,3,53,52006.7
216,88,103,280,10,125,20563.18
217,421,291,89,1,177,80137.69
218,238,321,437,3,64,36637.15
219,18,142,222,10,292,76545.22
220,320,163,179,10,441,60366.5
221,429,264,181,5,460,63583.67
222,384,292,114,5,368,35901.61
223,121,15,50,5,340,12129.47
224,40,51,291,1,395,61555.61
225,487,494,334,8,196,75632.28
226,475,445,428,7,25,59726.15
227,24,367,148,1,355,62110.13
228,17,239,118,7,469,71254.82
229,256,41,223,5,223,9255.88
230,43,297,236,8,81,26250.33
231,240,3,408,2,495,63317.1
232,399,226,27,6,448,17883.83
233,77,115,236,7,159,30677.33
234,192,455,492,4,17,9276.2
235,53,185,340,9,486,25452.04
236,129,280,332,8,390,6101.92
237,206,119,166,9,33,82739.08
238,367,122,132,7,194,60836.88
239,389,434,355,6,442,56935.79
240,270,15,317,6,112,5533.58
241,296,126,250,9,66,85761.8
242,232,28,150,3,105,5006.44
243,185,72,135,8,373,79795.24
244,20,347,306,10,356,25800.38
245,251,454,289,6,280,82919.23
246,494,391,225,10,192,17266.79
247,369,411,34,7,230,56997.29
248,203,99,69,4,357,7798.05
249,171,185,106,6,390,57691.83
250,312,377,467,10,159,17635.51
251,402,444,5,6,333,81579.92
252,188,28,351,4,395,27443.34
253,35,29,211,10,405,16013.98
254,182,146,368,8,389,7889.44
255,294,149,441,6,48,59543.71
256,181,465,173,6,146,67887.14
257,363,162,216,7,334,90008.95
258,190,422,331,7,13,10868.3
259,135,87,101,6,102,42231.82
260,219,22,35,9,60,20494.25
261,219,366,422,5,68,52709.49
262,214,237,394,3,418,27649.73
263,156,48,411,8,76,44048.57
264,33,346,157,1,305,40018.72
265,335,49,86,9,150,70550.3
266,145,91,152,1,88,75481.32
267,24,292,234,5,306,45342.91
268,205,118,160,1,304,28180.75
269,397,154,87,3,245,80492.3
270,178,249,417,10,480,85555.54
271,181,346,50,10,406,56301.62
272,345,43,181,7,201,28709.09
273,310,17,367,9,135,79470.15
274,160,384,349,1,441,38823.25
275,285,344,260,8,321,92276.02
276,287,308,192,9,318,30338.49
277,261,441,390,2,55,94324.73
278,68,257,145,1,238,45651.81
279,331,252,434,7,32,76561.11
280,211,35,102,8,178,24844.91
281,442,289,389,5,365,64356.16
282,191,176,392,6,424,60308.87
283,293,379,59,3,330,44929.04
284,16,283,343,9,399,74865.82
285,476,62,469,4,447,82707.93
286,218,326,395,2,201,74090.79
287,424,308,240,6,467,82244.3
288,248,470,80,4,87,75792.6
289,141,95,1,1,494,19216.66
290,405,425,416,4,351,78378.26
291,411,359,159,10,130,23115.27
292,38,316,303,5,75,14426.11
293,137,50,131,2,41,90656.42
294,290,216,483,5,252,61832.45
295,347,287,305,6,23,21766.23
296,221,459,252,7,350,65440.05
297,222,303,332,7,331,36620.59
298,23,68,450,6,101,18446.61
299,422,475,4,3,229,80951.12
300,86,133,167,4,473,15448.73
301,235,237,482,6,385,96433.05
302,91,437,142,5,134,78333.75
303,421,192,137,4,90,72661.52
304,281,322,98,7,5,27719.12
305,53,31,63,6,472,77161.14
306,451,183,216,5,379,7142.2
307,322,79,52,8,450,57617.51
308,403,183,241,7,113,34519.92
309,232,98,72,10,121,84067.64
310,421,46,373,7,409,77325.49
311,83,397,64,4,136,51344.65
312,209,199,297,6,175,49873.83
313,129,407,282,10,98,11949.84
